country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category
France,Luce,74,Moderate,1,Good,21,Good,5,Good,74,Moderate
France,Montelimar,123,Unhealthy for Sensitive Groups,2,Good,22,Good,4,Good,123,Unhealthy for Sensitive Groups
France,Rennes,51,Moderate,1,Good,27,Good,3,Good,51,Moderate
France,Le Kremlin Bicetre,72,Moderate,2,Good,27,Good,6,Good,72,Moderate
France,Neuilly Sur Marne,71,Moderate,2,Good,28,Good,6,Good,71,Moderate
France,La Garenne Colombes,71,Moderate,2,Good,28,Good,5,Good,71,Moderate
France,Sotteville Les Rouen,40,Good,1,Good,21,Good,3,Good,40,Good
France,Sucy En Brie,50,Good,1,Good,22,Good,5,Good,50,Good
France,Issoudun,44,Good,1,Good,20,Good,3,Good,44,Good
France,Noumea,28,Good,0,Good,28,Good,0,Good,7,Good
France,Vendome,56,Moderate,1,Good,34,Good,1,Good,56,Moderate
France,Frejus,42,Good,1,Good,42,Good,1,Good,28,Good
France,Le Creusot,35,Good,1,Good,25,Good,1,Good,35,Good
France,Chateaudun,69,Moderate,1,Good,19,Good,4,Good,69,Moderate
France,Carquefou,29,Good,1,Good,29,Good,3,Good,15,Good
France,Sarreguemines,44,Good,1,Good,32,Good,3,Good,44,Good
France,Rive De Gier,39,Good,1,Good,21,Good,4,Good,39,Good
France,Saint Leu La Foret,50,Good,1,Good,20,Good,5,Good,50,Good
France,Saint Pierre,51,Moderate,1,Good,28,Good,0,Good,51,Moderate
France,Douchy Les Mines,37,Good,1,Good,24,Good,2,Good,37,Good
France,Yzeure,39,Good,1,Good,28,Good,1,Good,39,Good
France,Castres,35,Good,1,Good,35,Good,1,Good,31,Good
France,Taverny,59,Moderate,1,Good,21,Good,5,Good,59,Moderate
France,Clichy Sous Bois,70,Moderate,2,Good,28,Good,5,Good,70,Moderate
France,Pirae,22,Good,0,Good,22,Good,0,Good,6,Good
France,Saint Maur Des Fosses,71,Moderate,2,Good,27,Good,6,Good,71,Moderate
France,Joinville Le Pont,71,Moderate,1,Good,45,Good,1,Good,71,Moderate
France,Lingolsheim,52,Moderate,2,Good,29,Good,4,Good,52,Moderate
France,Les Abymes,119,Unhealthy for Sensitive Groups,1,Good,25,Good,0,Good,119,Unhealthy for Sensitive Groups
France,Saint Laurent Du Var,58,Moderate,1,Good,58,Moderate,1,Good,44,Good
France,Ploufragan,48,Good,1,Good,37,Good,2,Good,48,Good
France,Ducos,139,Unhealthy for Sensitive Groups,1,Good,26,Good,0,Good,139,Unhealthy for Sensitive Groups
France,Aubagne,145,Unhealthy for Sensitive Groups,1,Good,25,Good,13,Good,145,Unhealthy for Sensitive Groups
France,Hoenheim,33,Good,1,Good,33,Good,1,Good,28,Good
France,Le Vesinet,48,Good,1,Good,19,Good,4,Good,48,Good
France,Eaubonne,51,Moderate,1,Good,20,Good,5,Good,51,Moderate
France,Forbach,52,Moderate,1,Good,27,Good,3,Good,52,Moderate
France,Albert,51,Moderate,1,Good,22,Good,4,Good,51,Moderate
France,Aubenas,37,Good,1,Good,26,Good,2,Good,37,Good
France,Chamalieres,32,Good,1,Good,32,Good,1,Good,21,Good
France,Villeneuve Les Avignon,66,Moderate,1,Good,30,Good,3,Good,66,Moderate
France,Montbeliard,44,Good,1,Good,25,Good,2,Good,44,Good
France,Vauvert,42,Good,1,Good,32,Good,1,Good,42,Good
France,Saint Jean De Luz,44,Good,0,Good,40,Good,0,Good,44,Good
France,Castelnau Le Lez,43,Good,1,Good,37,Good,0,Good,43,Good
France,La Trinite,97,Moderate,0,Good,25,Good,0,Good,97,Moderate
France,Colmar,43,Good,1,Good,23,Good,2,Good,43,Good
France,Besancon,42,Good,1,Good,24,Good,2,Good,42,Good
France,Papeete,32,Good,0,Good,32,Good,0,Good,13,Good
France,Plaisir,31,Good,1,Good,29,Good,2,Good,31,Good
France,Perpignan,40,Good,1,Good,33,Good,2,Good,40,Good
France,Auxerre,50,Good,1,Good,30,Good,2,Good,50,Good
France,La Possession,43,Good,0,Good,28,Good,0,Good,43,Good
France,Douai,50,Good,1,Good,24,Good,4,Good,50,Good
France,Lille,48,Good,1,Good,27,Good,4,Good,48,Good
France,Longwy,51,Moderate,1,Good,29,Good,3,Good,51,Moderate
France,Juvisy Sur Orge,58,Moderate,1,Good,19,Good,6,Good,58,Moderate
France,Ussel,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
France,Villeneuve Loubet,38,Good,1,Good,38,Good,2,Good,33,Good
France,Olivet,38,Good,1,Good,23,Good,2,Good,38,Good
France,Villemomble,51,Moderate,1,Good,21,Good,5,Good,51,Moderate
France,Montigny Les Metz,34,Good,1,Good,20,Good,4,Good,34,Good
France,Guebwiller,32,Good,1,Good,31,Good,1,Good,32,Good
France,Castelnaudary,31,Good,1,Good,31,Good,1,Good,20,Good
France,Saint Jean De La Ruelle,48,Good,1,Good,22,Good,4,Good,48,Good
France,Begles,41,Good,1,Good,41,Good,0,Good,25,Good
France,Carcassonne,43,Good,1,Good,43,Good,0,Good,36,Good
France,Vieux Conde,59,Moderate,1,Good,33,Good,3,Good,59,Moderate
France,Lourdes,32,Good,1,Good,32,Good,1,Good,19,Good
France,Cognac,46,Good,1,Good,25,Good,2,Good,46,Good
France,Rosny Sous Bois,30,Good,1,Good,28,Good,2,Good,30,Good
France,Saint Gaudens,32,Good,1,Good,32,Good,1,Good,21,Good
France,Vierzon,38,Good,1,Good,26,Good,2,Good,38,Good
France,Lamballe,51,Moderate,1,Good,34,Good,2,Good,51,Moderate
France,Ecully,110,Unhealthy for Sensitive Groups,2,Good,26,Good,4,Good,110,Unhealthy for Sensitive Groups
France,Gaillard,63,Moderate,1,Good,30,Good,2,Good,63,Moderate
France,Nogent Sur Marne,71,Moderate,1,Good,45,Good,1,Good,71,Moderate
France,Tournon Sur Rhone,57,Moderate,1,Good,49,Good,0,Good,57,Moderate
France,Lanester,46,Good,1,Good,23,Good,3,Good,46,Good
France,Bollene,56,Moderate,1,Good,27,Good,3,Good,56,Moderate
France,Vaureal,76,Moderate,2,Good,19,Good,6,Good,76,Moderate
France,Yvetot,65,Moderate,1,Good,32,Good,2,Good,65,Moderate
France,Antony,35,Good,1,Good,27,Good,3,Good,35,Good
France,Le Chambon Feugerolles,32,Good,1,Good,22,Good,2,Good,32,Good
France,Luneville,38,Good,1,Good,23,Good,3,Good,38,Good
France,Melun,34,Good,1,Good,26,Good,3,Good,34,Good
France,Mericourt,35,Good,0,Good,26,Good,2,Good,35,Good
France,Montceau Les Mines,42,Good,1,Good,25,Good,2,Good,42,Good
France,Athis Mons,73,Moderate,2,Good,20,Good,6,Good,73,Moderate
France,Neuilly Sur Seine,51,Moderate,1,Good,20,Good,5,Good,51,Moderate
France,Cergy,46,Good,1,Good,19,Good,4,Good,46,Good
France,Lomme,44,Good,1,Good,38,Good,1,Good,44,Good
France,Evry,74,Moderate,1,Good,44,Good,1,Good,74,Moderate
France,Cluses,62,Moderate,1,Good,40,Good,0,Good,62,Moderate
France,Colomiers,41,Good,1,Good,39,Good,1,Good,41,Good
France,Cran Gevrier,61,Moderate,1,Good,43,Good,0,Good,61,Moderate
France,Marcq En Baroeul,44,Good,1,Good,38,Good,1,Good,44,Good
France,Stains,69,Moderate,1,Good,21,Good,6,Good,69,Moderate
France,Les Lilas,83,Moderate,2,Good,17,Good,9,Good,83,Moderate
France,Auchel,31,Good,0,Good,29,Good,1,Good,31,Good
France,Creteil,34,Good,1,Good,26,Good,3,Good,34,Good
France,Clichy,71,Moderate,2,Good,28,Good,6,Good,71,Moderate
France,Wattignies,32,Good,0,Good,29,Good,2,Good,32,Good
France,Gros Morne,86,Moderate,0,Good,25,Good,0,Good,86,Moderate
France,Tourcoing,46,Good,1,Good,36,Good,2,Good,46,Good
France,Etaples,29,Good,0,Good,29,Good,2,Good,28,Good
France,Thonon Les Bains,32,Good,1,Good,28,Good,1,Good,32,Good
France,Troyes,30,Good,1,Good,25,Good,1,Good,30,Good
France,Firminy,145,Unhealthy for Sensitive Groups,1,Good,34,Good,1,Good,145,Unhealthy for Sensitive Groups
France,Saint Amand Les Eaux,53,Moderate,1,Good,40,Good,1,Good,53,Moderate
France,Valenton,84,Moderate,3,Good,16,Good,10,Good,84,Moderate
France,Villepinte,79,Moderate,2,Good,19,Good,7,Good,79,Moderate
France,Agde,47,Good,1,Good,47,Good,0,Good,31,Good
France,Meudon,67,Moderate,1,Good,23,Good,5,Good,67,Moderate
France,Le Pecq,71,Moderate,1,Good,43,Good,2,Good,71,Moderate
France,Allonnes,48,Good,1,Good,32,Good,1,Good,48,Good
France,Dijon,142,Unhealthy for Sensitive Groups,1,Good,31,Good,2,Good,142,Unhealthy for Sensitive Groups
France,Noisy Le Sec,70,Moderate,1,Good,46,Good,1,Good,70,Moderate
France,Saint Andre,55,Moderate,1,Good,27,Good,0,Good,55,Moderate
France,Bouguenais,30,Good,0,Good,30,Good,1,Good,17,Good
France,Saint Avertin,38,Good,1,Good,25,Good,2,Good,38,Good
France,Saint Die,31,Good,1,Good,31,Good,1,Good,30,Good
France,Aix Les Bains,48,Good,1,Good,24,Good,2,Good,48,Good
France,Courcouronnes,74,Moderate,1,Good,44,Good,1,Good,74,Moderate
France,Bruges,42,Good,1,Good,42,Good,0,Good,22,Good
France,Fresnes,72,Moderate,2,Good,20,Good,6,Good,72,Moderate
France,Verrieres Le Buisson,72,Moderate,1,Good,44,Good,2,Good,72,Moderate
France,La Teste De Buch,41,Good,1,Good,41,Good,0,Good,18,Good
France,Le Bourget,68,Moderate,1,Good,46,Good,1,Good,68,Moderate
France,Vigneux Sur Seine,72,Moderate,1,Good,44,Good,1,Good,72,Moderate
France,Caluire Et Cuire,55,Moderate,1,Good,30,Good,2,Good,55,Moderate
France,Aubiere,150,Unhealthy,1,Good,32,Good,2,Good,150,Unhealthy
France,Chilly Mazarin,71,Moderate,2,Good,27,Good,7,Good,71,Moderate
France,Oignies,49,Good,1,Good,38,Good,1,Good,49,Good
France,Vannes,59,Moderate,1,Good,31,Good,2,Good,59,Moderate
France,Bouc Bel Air,30,Good,1,Good,30,Good,5,Good,30,Good
France,Elbeuf,53,Moderate,1,Good,27,Good,3,Good,53,Moderate
France,Thiers,36,Good,1,Good,24,Good,2,Good,36,Good
France,Boissy Saint Leger,30,Good,1,Good,28,Good,2,Good,30,Good
France,Montrouge,31,Good,1,Good,28,Good,2,Good,31,Good
France,Cahors,40,Good,1,Good,24,Good,2,Good,40,Good
France,Eragny,48,Good,1,Good,19,Good,4,Good,48,Good
France,La Motte Servolex,64,Moderate,1,Good,32,Good,1,Good,64,Moderate
France,Le Moule,101,Unhealthy for Sensitive Groups,0,Good,25,Good,0,Good,101,Unhealthy for Sensitive Groups
France,Lievin,35,Good,0,Good,26,Good,2,Good,35,Good
France,Vandoeuvre Les Nancy,28,Good,1,Good,22,Good,3,Good,28,Good
France,Sallanches,28,Good,1,Good,28,Good,0,Good,25,Good
France,Narbonne,48,Good,1,Good,48,Good,0,Good,33,Good
France,Saint Gratien,67,Moderate,1,Good,46,Good,1,Good,67,Moderate
France,Auray,33,Good,0,Good,33,Good,0,Good,26,Good
France,Vitre,42,Good,1,Good,30,Good,2,Good,42,Good
France,Maromme,31,Good,0,Good,31,Good,1,Good,27,Good
France,Vesoul,53,Moderate,1,Good,29,Good,2,Good,53,Moderate
France,Tinqueux,30,Good,1,Good,25,Good,2,Good,30,Good
France,Tourlaville,33,Good,1,Good,8,Good,16,Good,33,Good
France,Kingersheim,34,Good,1,Good,30,Good,1,Good,34,Good
France,Lormont,42,Good,0,Good,42,Good,0,Good,24,Good
France,La Valette Du Var,59,Moderate,1,Good,28,Good,7,Good,59,Moderate
France,Cestas,42,Good,1,Good,42,Good,0,Good,19,Good
France,Epinay Sur Seine,71,Moderate,2,Good,28,Good,5,Good,71,Moderate
France,Cormeilles En Parisis,66,Moderate,1,Good,46,Good,1,Good,66,Moderate
France,Talant,42,Good,1,Good,25,Good,2,Good,42,Good
France,Saint Orens De Gameville,32,Good,1,Good,32,Good,2,Good,23,Good
France,Vence,69,Moderate,1,Good,35,Good,3,Good,69,Moderate
France,Cugnaux,33,Good,1,Good,33,Good,1,Good,22,Good
France,Oloron Sainte Marie,36,Good,1,Good,36,Good,0,Good,16,Good
France,Maubeuge,39,Good,1,Good,22,Good,4,Good,39,Good
France,Hericourt,60,Moderate,1,Good,48,Good,0,Good,60,Moderate
France,Etampes,41,Good,1,Good,22,Good,3,Good,41,Good
France,Creil,50,Good,1,Good,21,Good,5,Good,50,Good
France,Villeurbanne,70,Moderate,1,Good,54,Moderate,0,Good,70,Moderate
France,Soyaux,38,Good,1,Good,38,Good,1,Good,26,Good
France,Sceaux,50,Good,1,Good,20,Good,5,Good,50,Good
